dt: 0.447812 | dm: -77.084 | avg dt: 3.52351 | avg dm: 47.1418
dt: 0.455156 | dm: 30.4268 | avg dt: 3.5091 | avg dm: 47.0634
dt: 0.578645 | dm: 26.6768 | avg dt: 3.49541 | avg dm: 46.9681
dt: 0.445364 | dm: 22.9268 | avg dt: 3.48122 | avg dm: 46.8563
dt: 0.352395 | dm: 19.1768 | avg dt: 3.46674 | avg dm: 46.7281
dt: 0.418541 | dm: 15.4268 | avg dt: 3.45269 | avg dm: 46.5839
dt: 0.924478 | dm: 268.226 | avg dt: 3.44109 | avg dm: 47.6006
dt: 0.600781 | dm: 71.9268 | avg dt: 3.42813 | avg dm: 47.7117
dt: 0.424635 | dm: 68.1768 | avg dt: 3.41447 | avg dm: 47.8047
dt: 0.531718 | dm: 64.4268 | avg dt: 3.40143 | avg dm: 47.8799
dt: 0.43802 | dm: 60.6768 | avg dt: 3.38808 | avg dm: 47.9375
dt: 0.553645 | dm: 56.9268 | avg dt: 3.37537 | avg dm: 47.9778
dt: 0.408385 | dm: 53.1768 | avg dt: 3.36212 | avg dm: 48.0011
dt: 0.439166 | dm: 49.4268 | avg dt: 3.34913 | avg dm: 48.0074
dt: 0.398489 | dm: 45.6768 | avg dt: 3.33608 | avg dm: 47.9971
dt: 0.485937 | dm: 41.9268 | avg dt: 3.32352 | avg dm: 47.9703
dt: 0.521823 | dm: 38.1768 | avg dt: 3.31123 | avg dm: 47.9274
dt: 0.389479 | dm: 34.4268 | avg dt: 3.29847 | avg dm: 47.8684
dt: 0.415364 | dm: 30.6768 | avg dt: 3.28594 | avg dm: 47.7937
dt: 0.390208 | dm: 26.9268 | avg dt: 3.2734 | avg dm: 47.7034
dt: 0.374218 | dm: 23.1768 | avg dt: 3.26091 | avg dm: 47.5976
dt: 0.393749 | dm: 19.4268 | avg dt: 3.2486 | avg dm: 47.4767
dt: 0.348542 | dm: 15.6768 | avg dt: 3.23621 | avg dm: 47.3408
dt: 1.43739 | dm: 204.726 | avg dt: 3.22855 | avg dm: 48.0106
dt: 0.440468 | dm: 72.1768 | avg dt: 3.21674 | avg dm: 48.113
dt: 0.629999 | dm: 68.4268 | avg dt: 3.20583 | avg dm: 48.1987
dt: 0.477239 | dm: 64.6768 | avg dt: 3.19436 | avg dm: 48.2679
dt: 0.421927 | dm: 60.9268 | avg dt: 3.18276 | avg dm: 48.3209
dt: 0.513229 | dm: 57.1768 | avg dt: 3.17164 | avg dm: 48.3578
dt: 0.576562 | dm: 53.4268 | avg dt: 3.16087 | avg dm: 48.3788
dt: 0.591562 | dm: 49.6768 | avg dt: 3.15025 | avg dm: 48.3842
dt: 0.414218 | dm: 45.9268 | avg dt: 3.13899 | avg dm: 48.3741
dt: 0.389999 | dm: 42.1768 | avg dt: 3.12773 | avg dm: 48.3487
dt: 0.555364 | dm: 38.4268 | avg dt: 3.11723 | avg dm: 48.3082
dt: 0.389739 | dm: 34.6768 | avg dt: 3.10614 | avg dm: 48.2527
dt: 0.476771 | dm: 30.9268 | avg dt: 3.09549 | avg dm: 48.1826
dt: 0.40776 | dm: 27.1768 | avg dt: 3.08466 | avg dm: 48.0979
dt: 0.38177 | dm: 23.4268 | avg dt: 3.0738 | avg dm: 47.9988
dt: 0.506041 | dm: 19.6768 | avg dt: 3.06353 | avg dm: 47.8855
dt: 0.501405 | dm: 15.9268 | avg dt: 3.05332 | avg dm: 47.7582
dt: 1.80578 | dm: 205.226 | avg dt: 3.04837 | avg dm: 48.3831
dt: 0.621249 | dm: 72.4268 | avg dt: 3.03878 | avg dm: 48.4781
dt: 0.572291 | dm: 68.6768 | avg dt: 3.02907 | avg dm: 48.5576
dt: 0.635729 | dm: 64.9268 | avg dt: 3.01968 | avg dm: 48.6218
dt: 0.809947 | dm: -38.7549 | avg dt: 3.01105 | avg dm: 48.2805
dt: 0.63776 | dm: 50.9463 | avg dt: 3.00182 | avg dm: 48.2909
dt: 0.534426 | dm: 53.6768 | avg dt: 2.99225 | avg dm: 48.3118
dt: 0.487864 | dm: 49.9268 | avg dt: 2.98258 | avg dm: 48.318
dt: 0.467344 | dm: 46.1768 | avg dt: 2.97291 | avg dm: 48.3098
dt: 0.407656 | dm: 42.4268 | avg dt: 2.96308 | avg dm: 48.2872
dt: 0.354843 | dm: 38.6768 | avg dt: 2.95313 | avg dm: 48.2505
dt: 0.474062 | dm: 34.9268 | avg dt: 2.9437 | avg dm: 48.1999
dt: 0.370781 | dm: 31.1768 | avg dt: 2.93395 | avg dm: 48.1354
dt: 0.452239 | dm: 27.4268 | avg dt: 2.92459 | avg dm: 48.0572
dt: 0.383854 | dm: 23.6768 | avg dt: 2.91504 | avg dm: 47.9656
dt: 0.415728 | dm: 19.9268 | avg dt: 2.90568 | avg dm: 47.8606
dt: 0.35552 | dm: 16.1768 | avg dt: 2.89616 | avg dm: 47.7424
dt: 1.82828 | dm: 269.726 | avg dt: 2.89219 | avg dm: 48.5676
dt: 0.399999 | dm: 72.6768 | avg dt: 2.88296 | avg dm: 48.6569
dt: 0.442551 | dm: 68.9268 | avg dt: 2.87396 | avg dm: 48.7317
dt: 0.457291 | dm: 65.1768 | avg dt: 2.86507 | avg dm: 48.7921
dt: 0.424999 | dm: 61.4268 | avg dt: 2.85613 | avg dm: 48.8384
dt: 0.474582 | dm: 57.6768 | avg dt: 2.84744 | avg dm: 48.8707
dt: 0.389582 | dm: 53.9268 | avg dt: 2.8385 | avg dm: 48.889
dt: 0.500572 | dm: 50.1768 | avg dt: 2.83003 | avg dm: 48.8937
dt: 0.40427 | dm: 46.4268 | avg dt: 2.82128 | avg dm: 48.8848
dt: 0.498593 | dm: 42.6768 | avg dt: 2.81292 | avg dm: 48.8625
dt: 0.421563 | dm: 38.9268 | avg dt: 2.80435 | avg dm: 48.8269
dt: 0.459843 | dm: 35.1768 | avg dt: 2.79598 | avg dm: 48.7781
dt: 0.419375 | dm: 31.4268 | avg dt: 2.78752 | avg dm: 48.7164
dt: 0.421406 | dm: 27.6768 | avg dt: 2.77913 | avg dm: 48.6418
dt: 0.403698 | dm: 23.9268 | avg dt: 2.77073 | avg dm: 48.5544
dt: 0.454895 | dm: 20.1768 | avg dt: 2.76258 | avg dm: 48.4545
dt: 0.39026 | dm: 16.4268 | avg dt: 2.75426 | avg dm: 48.3421
